,Invoice_No.,Date,Model_ID,Model_x,Region,Make,Model_y,Variant,Ex-Showroom_Price,Displacement,Emission_Norm,Fuel_Type,Body_Type,City_Mileage,Highway_Mileage,Power,Torque,Odometer,Speedometer,Doors
0,3027,2021-01-01,1260,Maruti Suzuki Vitara Brezza Zdi+ Ags,Karnataka,Maruti Suzuki,Vitara Brezza,Zdi+ Ags,"Rs. 10,37,742",1248 cc,BS IV,Diesel,SUV,20 km/litre,24.3 km/litre,90PS@4000rpm,200Nm@1750rpm,Digital,Analog,5.0
1,4651,2021-05-03,1260,Maruti Suzuki Vitara Brezza Zdi+ Ags,Tamil Nadu,Maruti Suzuki,Vitara Brezza,Zdi+ Ags,"Rs. 10,37,742",1248 cc,BS IV,Diesel,SUV,20 km/litre,24.3 km/litre,90PS@4000rpm,200Nm@1750rpm,Digital,Analog,5.0
2,5322,2021-06-11,1260,Maruti Suzuki Vitara Brezza Zdi+ Ags,Tamil Nadu,Maruti Suzuki,Vitara Brezza,Zdi+ Ags,"Rs. 10,37,742",1248 cc,BS IV,Diesel,SUV,20 km/litre,24.3 km/litre,90PS@4000rpm,200Nm@1750rpm,Digital,Analog,5.0
3,5191,2021-11-23,1260,Maruti Suzuki Vitara Brezza Zdi+ Ags,Maharashtra,Maruti Suzuki,Vitara Brezza,Zdi+ Ags,"Rs. 10,37,742",1248 cc,BS IV,Diesel,SUV,20 km/litre,24.3 km/litre,90PS@4000rpm,200Nm@1750rpm,Digital,Analog,5.0
4,3023,2021-01-01,1264,Hyundai I20 Active 1.2 S,Rajasthan,Hyundai,I20 Active,1.2 S,"Rs. 7,74,035",1197 cc,BS IV,Petrol,Hatchback,15 km/litre,,83PS@6000rpm,114Nm@4000rpm,Digital,"Analog, Digital",5.0
5,2869,2021-02-04,1264,Hyundai I20 Active 1.2 S,Tamil Nadu,Hyundai,I20 Active,1.2 S,"Rs. 7,74,035",1197 cc,BS IV,Petrol,Hatchback,15 km/litre,,83PS@6000rpm,114Nm@4000rpm,Digital,"Analog, Digital",5.0
6,3208,2021-05-06,1264,Hyundai I20 Active 1.2 S,Andhra Pradesh,Hyundai,I20 Active,1.2 S,"Rs. 7,74,035",1197 cc,BS IV,Petrol,Hatchback,15 km/litre,,83PS@6000rpm,114Nm@4000rpm,Digital,"Analog, Digital",5.0
7,2847,2021-05-09,1264,Hyundai I20 Active 1.2 S,Tamil Nadu,Hyundai,I20 Active,1.2 S,"Rs. 7,74,035",1197 cc,BS IV,Petrol,Hatchback,15 km/litre,,83PS@6000rpm,114Nm@4000rpm,Digital,"Analog, Digital",5.0
8,4665,2021-01-01,1186,Hyundai Grand I10 Prime Era T+ Cng Vtvt,Tamil Nadu,Hyundai,Grand I10 Prime,Era T+ Cng Vtvt,"Rs. 5,45,946",1197 cc,BS IV,CNG,Hatchback,,,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,5.0
9,2515,2021-01-08,1186,Hyundai Grand I10 Prime Era T+ Cng Vtvt,Karnataka,Hyundai,Grand I10 Prime,Era T+ Cng Vtvt,"Rs. 5,45,946",1197 cc,BS IV,CNG,Hatchback,,,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,5.0
10,5294,2021-03-15,1186,Hyundai Grand I10 Prime Era T+ Cng Vtvt,West Bengal,Hyundai,Grand I10 Prime,Era T+ Cng Vtvt,"Rs. 5,45,946",1197 cc,BS IV,CNG,Hatchback,,,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,5.0
11,4482,2021-03-17,1186,Hyundai Grand I10 Prime Era T+ Cng Vtvt,Uttar Pradesh,Hyundai,Grand I10 Prime,Era T+ Cng Vtvt,"Rs. 5,45,946",1197 cc,BS IV,CNG,Hatchback,,,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,5.0
12,3635,2021-04-11,1186,Hyundai Grand I10 Prime Era T+ Cng Vtvt,Tamil Nadu,Hyundai,Grand I10 Prime,Era T+ Cng Vtvt,"Rs. 5,45,946",1197 cc,BS IV,CNG,Hatchback,,,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,5.0
13,3215,2021-10-07,1186,Hyundai Grand I10 Prime Era T+ Cng Vtvt,Karnataka,Hyundai,Grand I10 Prime,Era T+ Cng Vtvt,"Rs. 5,45,946",1197 cc,BS IV,CNG,Hatchback,,,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,5.0
14,3488,2021-11-11,1186,Hyundai Grand I10 Prime Era T+ Cng Vtvt,Rajasthan,Hyundai,Grand I10 Prime,Era T+ Cng Vtvt,"Rs. 5,45,946",1197 cc,BS IV,CNG,Hatchback,,,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,5.0
15,4723,2021-01-01,1180,Maruti Suzuki Celerio Vxi (O) Ags,Karnataka,Maruti Suzuki,Celerio,Vxi (O) Ags,"Rs. 5,15,257",998 cc,BS 6,Petrol,Hatchback,23 km/litre,22 km/litre,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,5.0
16,5221,2021-04-16,1180,Maruti Suzuki Celerio Vxi (O) Ags,Delhi,Maruti Suzuki,Celerio,Vxi (O) Ags,"Rs. 5,15,257",998 cc,BS 6,Petrol,Hatchback,23 km/litre,22 km/litre,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,5.0
17,4400,2021-04-24,1180,Maruti Suzuki Celerio Vxi (O) Ags,Assam,Maruti Suzuki,Celerio,Vxi (O) Ags,"Rs. 5,15,257",998 cc,BS 6,Petrol,Hatchback,23 km/litre,22 km/litre,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,5.0
